date,title,desc
2026/02/10,test
2026/03/06,築心相見歡
2026/03/13,築心演講:「綻放」
2026/03/20,築心活動
2026/03/27,築心導讀_榮格人格類型(1)
2026/04/10,築心導讀_看得到的世界史(1)
2026/04/17,築心導讀_看得到的世界史(2)
2026/04/24,築心導讀_新手AI生活家(1)
2026/05/08,築心導讀_新手AI生活家(2)
2026/04/24,築心導讀_新手AI生活家(1)
2026/05/08,築心導讀_新手AI生活家(2)
2026/05/15,築心導讀_榮格人格類型(2)
2026/05/22,築心導讀_選書+活動
2026/05/29,築心導讀_除身體的濕(1)
2026/06/05,築心導讀_除身體的濕(2)
2026/06/12,築心結業式
